coditen_cli,descricao,codbarras,ncm,ex_ncm,natu_tabela,natu_codnature,cst_in,cst_out,aliq_in_pis,aliq_out_pis,aliq_in_cofins,aliq_out_cofins,conferido,cest,cst_in_icms,cst_out_icms,aliq_in_icms,aliq_out_icms,bc_dentro,bc_fora,cson
78936690,NESTLE IORG GREGO TORTA DE MARACUJA 90G,00000078936690,,00,,,,,,,,,0,,,,,,,,
78937130,ROTHMANS CIG SPECIALBLUE BOX,00000078937130,,00,,,,,,,,,0,,,,,,,,
78937680,CIG CHESTERFIELD BLUE BOX,00000078937680,,00,,,,,,,,,0,,,,,,,,
78937987,CIG KENT BLUE BOX,00000078937987,,00,,,,,,,,,0,,,,,,,,
78937994,CIG KENT BOX RED,00000078937994,,00,,,,,,,,,0,,,,,,,,
78938793,HALLS CREAMY CEREJA C/10 28G,00000078938793,,00,,,,,,,,,0,,,,,,,,
78938809,HALLS CREAMY MORANGO C/10 28G,00000078938809,,00,,,,,,,,,0,,,,,,,,
78938816,"HALLS EXTRA FORTE C/10 27,5G",00000078938816,,00,,,,,,,,,0,,,,,,,,
78938823,HALLS MENTOL C/10 28G,00000078938823,,00,,,,,,,,,0,,,,,,,,
78938854,HALLS MELANCIA C10 28G,00000078938854,,00,,,,,,,,,0,,,,,,,,
78939301,LACTA SONHO DE VALSA 20G,00000078939301,,00,,,,,,,,,0,,,,,,,,
78939318,LACTA OURO BRANCO 20G,00000078939318,,00,,,,,,,,,0,,,,,,,,
78939424,CIG CHESTERFIELD RED ORIGINAL BOX,00000078939424,,00,,,,,,,,,0,,,,,,,,
38000846106,PRINGLES BATATA CR E CEBOLA 40G,00038000846106,,00,,,,,,,,,0,,,,,,,,
38000849961,PRINGLES BATATA ORIGINAL 37G,00038000849961,,00,,,,,,,,,0,,,,,,,,
41333001005,DURACELL PILHA ALCALINA AA C2,00041333001005,,00,,,,,,,,,0,,,,,,,,
41333001074,DURACELL PILHA ALCALINA AAA C2,00041333001074,,00,,,,,,,,,0,,,,,,,,
070330424043,"BIC LAPISEIRA SHIMMERS 0,5 UNID.",00070330424043,,00,,,,,,,,,0,,,,,,,,
070330424067,"BIC LAPISEIRA SHIMMERS 0,7 UNID.",00070330424067,,00,,,,,,,,,0,,,,,,,,
70330703629,BIC APAR SENSITIVE SHAVER AMARELO C/2,00070330703629,,00,,,,,,,,,0,,,,,,,,
70330709485,BIC APAR COMFORT 2 P.SENSIVEL C/2,00070330709485,,00,,,,,,,,,0,,,,,,,,
70330712379,BIC APAR COMFORT P.NORMAL 2 AZULC/2,00070330712379,,00,,,,,,,,,0,,,,,,,,
70330717534,BIC APAR COMFORT-3 PELE NORMAL UN,00070330717534,,00,,,,,,,,,0,,,,,,,,
70330717565,BIC APAR COMFORT-3 PELE SENSIVEL UN,00070330717565,,00,,,,,,,,,0,,,,,,,,
70330727984,BIC APAR COMFORT-3 BLACK NIGHT UN,00070330727984,,00,,,,,,,,,0,,,,,,,,
70330729858,BIC APAR INTENSITY 3 UNID.,00070330729858,,00,,,,,,,,,0,,,,,,,,
70330729872,BIC APAR. BARBEAR ACQUA 3 AZUL UNID.,00070330729872,,00,,,,,,,,,0,,,,,,,,
70330731806,BIC APAR COMFORT SOLEIL ROSA UNID.,00070330731806,,00,,,,,,,,,0,,,,,,,,
70330736559,BIC APAR BARB FLEX3 AZUL,00070330736559,,00,,,,,,,,,0,,,,,,,,
070330741874,BIC MEN ESPUMA DE BARBEAR 150ML,00070330741874,,00,,,,,,,,,0,,,,,,,,
70330909229,BIC ISQUEIRO GRANDE,00070330909229,,00,,,,,,,,,0,,,,,,,,
70330913431,BIC ISQUEIRO PEQUENO,00070330913431,,00,,,,,,,,,0,,,,,,,,
70847022015,MONSTER ENERGY 473ML,00070847022015,,00,,,,,,,,,0,,,,,,,,
70847022022,MONSTER ENERGY KHAOS 473ML,00070847022022,,00,,,,,,,,,0,,,,,,,,
070847022305,MONSTER ENERGY ABSOLUTELY ZERO 473ML,00070847022305,,00,,,,,,,,,0,,,,,,,,
0070847033301,MONSTER JUICE MANGO ENERGY 473ML,00070847033301,,00,,,,,,,,,0,,,,,,,,
70847033929,MONSTER ENER. ULTRA VIOLET 473ML,00070847033929,,00,,,,,,,,,0,,,,,,,,
360002914539,BANANA CHIPS PANTANEIRA 50G,00360002914539,,00,,,,,,,,,0,,,,,,,,
0606529669409,DEPOCA UVA CRINSON S/ SEMENTE 500G,00606529669409,,00,,,,,,,,,0,,,,,,,,
606529669447,DEPOCA FRUTAS MORANGO 250G,00606529669447,,00,,,,,,,,,0,,,,,,,,
606529669454,BROCOLIS UNIDADE,00606529669454,,00,,,,,,,,,0,,,,,,,,
606529669461,COUVE FLOR UNDIDADE,00606529669461,,00,,,,,,,,,0,,,,,,,,
678963100206,GUARANA ANTARCTICA LATA 350ML,00678963100206,,00,,,,,,,,,0,,,,,,,,
783094060128,RAYOVAC LAMPADA CFL 15W127V,00783094060128,,00,,,,,,,,,0,,,,,,,,
783094060166,RAYOVAC LAMPADA CFL 20W127V,00783094060166,,00,,,,,,,,,0,,,,,,,,
815154021203,BURN ENERGY DRINK ORIGINAL 260ML,00815154021203,,00,,,,,,,,,0,,,,,,,,
815154021531,BURN ENERGY DRINK PASSION PUNCH 260ML,00815154021531,,00,,,,,,,,,0,,,,,,,,
3014260833176,ORAL B ESCOVA CLASSIC BRILHANTE MEDIA,03014260833176,,00,,,,,,,,,0,,,,,,,,
3228021000244,PRESIDENT QUEIJO CHEDDAR 120G,03228021000244,,00,,,,,,,,,0,,,,,,,,
5601252100804,GALLO AZEITE OLIVA EXTRA VIRGEM LT 500ML,05601252100804,,00,,,,,,,,,0,,,,,,,,
5601252106103,GALLO AZEITE OLIVA PURO VD 500ML,05601252106103,,00,,,,,,,,,0,,,,,,,,
5601252231058,GALLO AZEITE OLIVA PURO LT 200ML,05601252231058,,00,,,,,,,,,0,,,,,,,,
7501009222729,GILLETTE PREST ULTRA GRIP AZUL,07501009222729,,00,,,,,,,,,0,,,,,,,,
7506195143834,DOWNY AMACIANTE BRISA DE VERAO 500ML,07506195143834,,00,,,,,,,,,0,,,,,,,,
7506195143872,DOWNY AMACIANTE FRESCOR PRIMAVERA 500ML,07506195143872,,00,,,,,,,,,0,,,,,,,,
7506306233362,AXE DES. AEROSOL URBAN 48H 152ML,07506306233362,,00,,,,,,,,,0,,,,,,,,
7506306241169,DOVE DES AEROSOL G6 FRESH 150ML,07506306241169,,00,,,,,,,,,0,,,,,,,,
7506306241176,DOVE DES AEROSOL INVISIBLE DRY 150ML,07506306241176,,00,,,,,,,,,0,,,,,,,,
7506339396126,DOWNY AMACIANTE ADORABLE 500ML,07506339396126,,00,,,,,,,,,0,,,,,,,,
7509546061689,COLGATE ESCOVA DEN. SLIM SOFT BLACK 2X1,07509546061689,,00,,,,,,,,,0,,,,,,,,
7509546077222,COLGATE TOTAL 12 SAUDE VISIVEL 70G,07509546077222,,00,,,,,,,,,0,,,,,,,,
7622210411501,LACTA CHOC 5STAR 40G,07622210411501,,00,,,,,,,,,0,,,,,,,,
7622210594624,"HALLS MEL E LIMAO 25,2G",07622210594617,,00,,,,,,,,,0,,,,,,,,
7622210617903,TRIDENT X SOUR E SWEET BLUEBERRY 8G,07622210617903,,00,,,,,,,,,0,,,,,,,,
7622210617996,"TRIDENT X SENSES SOUR/SWEET BLUEBERRY 26,6G - 14UN",07622210617996,,00,,,,,,,,,0,,,,,,,,
7622210630636,"TRIDENT MINTS MENTA 22,5G",07622210630636,,00,,,,,,,,,0,,,,,,,,
7622210641939,LACTA LAKA OREO 20G,07622210641939,,00,,,,,,,,,0,,,,,,,,
7622210696922,"TRIDENT XFRESH INTENSE 26,6G - 14UN",07622210696922,,00,,,,,,,,,0,,,,,,,,
7622210839602,"TRIDENT BLUEBERRY C18 30,6G",07622210839602,,00,,,,,,,,,0,,,,,,,,
7622210862679,TRIDENT WATERMELON C/18 306G,07622210862679,,00,,,,,,,,,0,,,,,,,,
7622210885760,TRIDENT XFRESH TANGERINE C/9 18G,07622210885760,,00,,,,,,,,,0,,,,,,,,
7622210887658,TRIDENT XFRESH MINT C9 18G,07622210887658,,00,,,,,,,,,0,,,,,,,,
7622210887863,TRIDENT XFRESH TANGERINE S/ACUCAR 56G,07622210887863,,00,,,,,,,,,0,,,,,,,,
7622210888457,TRIDENT XFRESH MINT S/ACUCAR 56G,07622210888457,,00,,,,,,,,,0,,,,,,,,
7622210936707,LACTA LAKA E OREO 90G,07622210936707,,00,,,,,,,,,0,,,,,,,,
7622210961679,LACTA LAKADIAMANTE NEGRO 90G,07622210961679,,00,,,,,,,,,0,,,,,,,,
7622210961716,LACTA AMARO 40CACAU 90G,07622210961716,,00,,,,,,,,,0,,,,,,,,
7622300119621,ROYAL FERMENTO EM PO 100G,07622300119621,,00,,,,,,,,,0,,,,,,,,
7622300741013,TRAKINAS BISC. CHOCOLATE 143G,07622300741013,,00,,,,,,,,,0,,,,,,,,
7622300741044,TRAKINAS BISC. MORANGO 143G,07622300741044,,00,,,,,,,,,0,,,,,,,,
7622300807283,LACTA BIS CHOC. BRANCO 126G,07622300807283,,00,,,,,,,,,0,,,,,,,,
7622300807399,LACTA BIS CHOC AO LEITE 126G,07622300807399,,00,,,,,,,,,0,,,,,,,,
7622300830090,OREO BISCOITO CHOCOLATE C/BAUNILHA 144G,07622300830090,,00,,,,,,,,,0,,,,,,,,
